Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager
UHEWA,Upper Hewakhola Hydropower Company Limited,1:1,5750000.00,100.00,,,,,
DORDI,Dordi Khola Hydropower Company Limited,1:0.56621279,11938714.58,100.00,,,,,NIC Asia Capital Limited
UPCL,Universal Power Company Limited,1:1,24851236.18,100.00,,,,,Mukinath Capital Limited
HPPL,Himalayan Power Partner Limited,1:0.5,5327085.00,100.00,2026-04-30,2026-05-20,2026-03-24,2026-07-10,Global IME Capital Limited
UAIL,United Ajod Insurance Limited,100:10,2310000.00,100.00,2026-04-09,2026-05-14,2026-03-01,2026-08-19,Laxmi Sunrise Capital Limited
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,1:1,4000000.00,100.00,2026-04-05,2026-05-11,2026-02-13,2026-07-10,NIC Asia Capital
RFPL,River Falls Power Limited,1:1,7000000.00,100.00,2025-09-08,2025-10-12,2025-08-11,2025-12-17,Prabhu Capital Limited
CITY,City Hotel Limited,1:0.80,13392000.00,100.00,2025-09-08,2025-10-12,2025-08-12,2025-12-11,Prabhu Capital Limited
NABBC,Narayani Development Bank Limited,1: 1,2624676.00,100.00,2025-09-18,2025-10-26,2025-08-25,2026-06-15,Global IME Capital ltd.
SSHL,Shiva Shree Hydropower Limited,1:1,14764000.00,100.00,2025-09-04,2025-10-09,2025-08-01,2025-12-17,Citizens Capital Limited
JOSHI,Joshi Hydropower Development Company Limited,1:0.65,2414100.00,100.00,2025-07-31,2025-09-04,2025-06-22,2025-11-26,LS Capital Limited
KKHC,Khani Khola Hydropower Company Limited,1:1,4657143.00,100.00,2025-08-19,2025-09-21,2025-07-11,2025-12-12,Citizens Capital Limited
BARUN,Barun Hydropower Company Limited,1:1,5358150.00,100.00,2025-07-15,2025-08-19,2025-06-05,2025-11-13,RBB Merchant Banking Limited
NICL,Nepal Insurance Company Limited,10:3.4783,6576967.76,100.00,2025-07-22,2025-08-18,2025-06-13,2025-11-04,NIMB Ace Capital Limited
PPL,People's Power Limited,1:0.5,3163000.00,100.00,2025-07-06,2025-08-11,2025-06-16,2025-10-31,Prabhu Capital Limited
ALICL,Asian Life Insurance Company Limited,1:0.42,14279312.48,100.00,2025-07-09,2025-08-05,2025-05-30,2025-11-04,Muktinath Capital Limited
TPC,Terhathum Power Company Limited,1:1,4000000.00,100.00,2025-06-30,2025-07-27,2025-05-19,2025-09-25,Nabil Investment Banking Limited
CHL,Chhyangdi Hydropower Company Limited,1:1,3869775.00,100.00,2025-06-06,2025-07-11,2025-05-16,2025-08-25,Global Ime Capital Limited
RHGCL,Rapti Hydro & General Construction Limited,1:1,6127938.00,100.00,2025-06-15,2025-07-08,2025-05-20,2025-09-23,Muktinath Capital Limited
SNLI,Sun Nepal Life Insurance Company Limited,1:0.27,10696320.00,100.00,2025-05-13,2025-06-17,2025-04-18,2025-07-14,Nepal SBI Merchant Banking Limited
DORDI,Dordi Khola Hydropower Company Limited,1:1,10542604.00,100.00,2025-04-01,2025-04-27,2025-02-27,2025-08-31,Sanima Capital Limited
NIL,Neco Insurance Limited,1:0.25,5030901.55,100.00,2025-02-20,2025-03-27,2025-01-31,2025-06-12,Sanima Capital Limited
NGPL,Ngadi Group Power Limited,1:1,18512792.23,100.00,2025-01-07,2025-02-11,2024-12-03,2025-04-01,Siddhartha Capital Limited
BHL,Balephi Hydropower Limited,1:1,18279700.00,100.00,2024-12-12,2025-01-01,2024-11-06,2025-04-01,NIMB Ace Capital Limited
LICN,Life Insurance Corporation Nepal Limited,1:0.8845168,23468000.00,100.00,2024-11-27,2025-01-01,2024-10-25,2025-03-16,Nepal SBI Merchant Banking Limited
NLG,NLG Insurance Company Limited,10:6.256,9631220.22,100.00,2024-11-26,2024-12-31,2024-11-12,2025-03-09,LS Capital Limited
LEC,Liberty Energy Company Limited,1:0.5,7500000.00,100.00,2024-12-01,2024-12-22,2024-11-06,2025-02-14,Prabhu Capital Limited
AKJCL,Ankhukhola Hydropower Company Limited,1:1.5,12000000.00,100.00,2024-08-11,2024-09-01,2024-07-16,2024-11-11,Nabil Investment Banking Limited
HURJA,Himalaya Urja Bikas Company Limited,1:1,9900000.00,100.00,2024-08-08,2024-08-28,2024-07-04,2024-10-29,Nabil Investment Banking Limited
MMHPL,Middle Modi Hydropower Limited,1:0.6024,4879719.00,100.00,2024-07-09,2024-07-28,,,
NLCL,Nepal Life Capital Limited (Former National Merchant Banker Limited),1:0.50,1499518.00,100.00,2024-06-25,2024-07-09,2024-07-09,,
RIDI,Ridi Power Company Limited,1:0.5,7744506.00,100.00,2024-03-01,2024-03-21,2024-02-05,2024-05-13,Muktinath Capital Limited
AHPC,Arun Valley Hydropower Development Company Limited,1:1,18679626.00,100.00,2024-02-29,2024-03-20,2024-01-29,2024-05-20,Muktinath Capital Limited
SHEL,Singati Hydro Energy Limited,1:1,14500000.00,100.00,2024-02-14,2024-03-05,2024-01-07,2024-05-02,Kumari Capital Limited
LSML,Linch Stock Market Limited,1:0.20,245037.00,100.00,2024-01-23,2024-03-19,2024-02-26,,Linch Stock Market Limited
GHL,Ghalemdi Hydro Limited,1:2,11000000.00,100.00,2023-11-26,2024-01-01,2023-10-20,2024-02-22,Muktinath Capital Limited
UPPER,Upper Tamakoshi Hydropower Limited,1: 1,105900000.00,100.00,2023-09-04,2023-10-09,2023-08-11,2024-03-10,Sunrise Capital Limited
AKPL,Arun Kabeli Power Limited,1: 1,18552105.00,100.00,2023-08-28,2023-09-17,2023-07-10,2023-12-11,Nabil Investment Banking Ltd
MPFL,Multipurpose Finance Company Limited,1: 0.35,1582000.00,100.00,2023-08-27,2023-09-17,2023-07-28,2023-11-10,Muktinath Capital Limited
SPDL,Synergy Power Development Limited,2: 1,4032875.00,100.00,2023-08-20,2023-09-17,2023-07-28,2023-12-10,Sanima Capital Limited
API,Api Power Company Limited,1: 0.40,16533137.00,100.00,2023-08-16,2023-09-05,2023-07-07,2023-11-10,Muktinath Capital Limited
HDHPC,Himal Dolakha Hydropower Company Limited,1: 0.75,12000000.00,100.00,2023-06-05,2023-07-10,2023-05-10,2023-09-07,Laxmi Capital Market Limited
NHPC,National Hydro Power Company Limited,10:5,8221459.72,100.00,2023-07-14,2023-08-03,2023-06-16,2023-10-19,Muktinath Capital Limited
BARUN,Barun Hydropower Company Limited,1:1,2679075.00,100.00,2022-08-22,2022-09-16,2022-07-18,2022-12-04,RBB Merchant Banking Limited
RADHI,Radhi Bidyut Company Limited,1:1.4752,9535760.99,100.00,2022-09-21,2022-10-11,2022-08-28,2022-12-14,Muktinath Capital Limited
NGPL,Ngadi Group Power Limited,1:1.5,10603986.00,100.00,2022-08-03,2022-08-23,2022-07-04,2022-11-11,Siddhartha Capital Ltd
NFS,Nepal Finance Limited,1:0.70,3454474.28,100.00,2022-05-20,2022-06-09,2022-05-04,2022-07-31,Prabhu Capital Ltd.
API,Api Power Company Limited,1: 0.3936,10860000.00,100.00,2022-04-08,2022-04-28,2022-03-28,2022-07-13,Muktinath Capital Ltd.
SICL,Shikhar Insurance Company Limited,10:3,5275572.00,100.00,2022-03-15,2022-04-04,2022-02-04,2022-06-10,NIBL Ace Capital Ltd
IGIL,IME General Insurance Limited,10:4,4630344.00,100.00,2022-03-06,2022-03-27,2022-02-13,2022-06-06,Global IME Capital Ltd.
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),2:1,2729705.00,100.00,2022-02-20,2022-03-13,2021-12-26,2022-05-24,BOK Capital Market Ltd.
CHL,Chhyangdi Hydropower Company Limited,10:3,893025.00,100.00,2022-01-25,2022-02-14,2022-01-05,2022-04-21,Global IME Capital Ltd.
CORBL,Corporate Development Bank Limited,1:1.5,3000000.00,100.00,2022-01-21,2022-02-25,2022-01-10,2022-05-20,Civil Capital Market Ltd.
NABBC,Narayani Development Bank Limited,1:1,1312338.00,100.00,2021-12-23,2022-01-26,2021-12-10,2022-03-23,Global IME Capital Ltd
EDBL,Excel Development Bank Limited,10:3,2433363.67,100.00,2021-10-11,2021-11-15,2021-09-17,2022-01-17,NIBL Ace Capital
API,Api Power Company Limited,1:0.2938,5670000.00,100.00,2021-06-03,2021-06-27,2021-05-12,2021-08-26,Muktinath Capital Ltd.
HIDCL,Hydroelectricity Investment and Development Company Limited,1:1,110000000.00,100.00,2021-07-20,2021-08-24,2021-06-11,2021-11-11,Global IME Capital Limited
AHPC,Arun Valley Hydropower Development Company Limited,1:0.5,5241197.00,100.00,2021-04-19,2021-05-16,2021-03-22,2021-07-16,Muktinath Capital Limited
CIT,Citizen Investment Trust,100:82.84,13592592.00,100.00,2021-01-12,2021-02-01,2020-12-29,2021-04-18,RBB Merchant Banking Limited
NABBC,Narayani Development Bank Limited,1:1,656169.00,100.00,2021-01-26,2021-02-15,2021-01-13,2021-04-21,Global IME Capital Ltd.
NFS,Nepal Finance Limited,1:1.25,1697506.25,100.00,2020-11-19,2020-12-09,2020-10-22,2021-02-03,Prabhu Capital Limited
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),1:2,3639606.00,100.00,2020-10-02,2020-10-22,2020-08-25,2020-12-15,BOK Capital Limited
SICL,Shikhar Insurance Company Limited,10:3,3171932.00,100.00,2020-06-28,2020-07-19,2020-02-25,2020-08-30,Nibl Ace Capital Limited
API,Api Power Company Limited,1:0.47619047619,5670000.00,100.00,2020-10-30,2020-11-19,2020-03-14,2021-02-21,Siddhartha Capital Limited
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),1:1,1141140.00,100.00,2020-08-09,2020-09-14,2020-06-29,2020-11-24,Century Capital Market Limited
PICL,Prudential Insurance Company Limited,10:6,3849120.00,100.00,2020-06-21,2020-07-03,2020-02-10,2020-09-06,NMB Capital Ltd
NLG,NLG Insurance Company Limited,10:6,3842437.50,100.00,2020-03-05,2020-07-09,,2020-09-23,Laxmi Capital Market Limited
GLICL,Gurans Life Insurance Company Limited,1:1,9385200.00,100.00,2020-06-28,2020-07-19,2020-03-05,2020-11-02,NMB Capital Ltd
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,1:2,1213440.00,100.00,2019-10-14,2019-11-17,2019-09-18,2020-01-31,NIBL ACE Capital Limited
LGIL,Lumbini General Insurance Limited,10:2,1760000.00,100.00,2019-11-10,2019-12-15,2019-10-14,2020-06-11,CBIL Capital Limited
UIC,United Insurance Company (Nepal) Limited,1:2.4,7257600.00,100.00,2019-08-20,2019-10-10,2019-07-30,2020-02-18,NMB Capital Limited
SFFIL,Srijana Finance Limited,10:6,2764692.00,100.00,2019-10-04,2019-11-22,2019-09-23,2020-01-16,Sunrise Capital Limited
MNBBL,Muktinath Bikas Bank Limited,10:2,6129520.25,100.00,2019-08-29,2019-10-02,2019-08-16,2020-01-05,Vibor Capital Limited
SLICL,Surya Life Insurance Company Limited,10:7,8874096.00,100.00,2019-08-25,2019-09-29,2019-08-14,2019-12-19,NIC Asia Capital Ltd.
NMBMF,NMB Laghubitta Bittiya Sanstha Limited,1:1.5,2430093.75,100.00,2019-11-10,2019-12-15,2019-10-27,2020-03-01,Sunrise Capital Limited
GILB,Global IME Laghubitta Bittiya Sanstha Limited,1:1,1104575.00,100.00,2019-08-06,2019-09-09,2019-07-17,2019-11-29,Global IME Capital Limited
WOMI,Womi Laghubitta Bittiya Sanstha Limited,1:1,1010880.00,100.00,2019-07-25,2019-08-28,2019-07-12,2019-12-16,Siddhartha Capital Limited
MPFL,Multipurpose Finance Company Limited,1:8.64469,3585264.00,100.00,2019-07-08,2019-08-26,2019-06-26,2020-02-17,Civil Capital Limited
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,1:1,288000.00,100.00,2019-06-27,2019-07-31,2019-06-17,2019-11-21,Siddhartha Capital Limited
EIC,Everest Insurance Company Limited,1:3,8219475.00,100.00,2019-05-28,2019-07-01,2019-04-22,2019-09-15,Siddhartha Capital Limited
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,1:0.5,3275000.00,100.00,2019-05-10,2019-06-13,2019-04-12,2019-08-29,NIBL Ace Capital Limited
GLICL,Gurans Life Insurance Company Limited,2:1,2970000.00,100.00,2019-04-11,2019-05-15,2019-03-20,2019-08-22,Laxmi Capital Market Ltd.
ALICL,Asian Life Insurance Company Limited,1:0.6,7540352.73,100.00,2019-04-08,2019-05-12,2019-03-06,2019-07-16,NIBL Ace Capital Limited
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,2:1,329890.00,100.00,2019-01-31,2019-03-13,2019-01-15,2019-06-20,Kathmandu Capital Market Limited
NICL,Nepal Insurance Company Limited,1:0.65,4014651.58,100.00,2019-03-05,2019-04-08,2019-02-10,2019-06-25,Global IME Capital Limited
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,1:1,3289000.00,100.00,2019-03-03,2019-04-07,2019-02-07,2019-06-20,Global IME Capital Ltd
UMB,Unnati Laghubitta Bittiya Sanstha Limited,5:1,110000.00,100.00,2019-02-25,2019-03-31,2019-01-30,2019-06-07,Siddhartha Capital Ltd.
IGIL,IME General Insurance Limited,10:8,4320000.00,100.00,2019-01-01,2019-02-04,2018-11-25,2019-04-02,Global IME Capital Ltd.
NADEP,NADEP Laghubitta Bittiya Sanstha Limited,1:1,1600000.00,100.00,2018-12-09,2019-01-13,2018-11-23,2019-04-09,Nabil Investment Banking Ltd.
EIC,Everest Insurance Company Limited,1: 1.05,1403325.00,100.00,2018-12-02,2019-01-06,2018-11-13,2019-02-26,Siddhartha Capital Ltd.
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2:1,300000.00,100.00,2018-11-27,2018-12-31,2018-11-14,2020-07-28,Sunrise Capital Limited
KMFL,Kisan Microfinance Bittiya Sanstha Limited,2:1,240250.00,100.00,2018-11-18,2018-12-23,2018-10-30,2019-02-21,Civil Capital Market Ltd.
SDESI,Swadeshi Laghubitta Bittiya Sanstha Limited,1:1,1150000.00,100.00,2018-10-09,2018-11-12,2018-09-10,2019-01-08,NIC Asia Capital Limited
CEFL,City Express Finance Limited (former Kuber Merchant Finance),1:1.67,2500000.00,100.00,2018-08-16,2018-09-20,2018-08-06,2019-02-06,Kathmandu Capital Market Limited
NCCB,Nepal Credit and Commerce Bank Limited,2:1,23395292.00,100.00,2018-08-19,2018-10-08,2018-07-31,2019-02-10,Sunrise Capital Limited
JEFL,Jebils Finance Limited,10:4,2311650.00,100.00,2018-06-24,2018-08-13,2018-06-06,2019-06-20,Sunrise Capital Limited
NNLB,Naya Nepal Laghubitta Bikas Bank Limited,1:2.5,600000.00,100.00,2018-08-11,2018-09-16,2018-07-23,2019-02-06,NMB Capital Limited
PROFL,Progressive Finance Limited,1:2.81,5901000.00,100.00,2018-08-20,2018-10-09,2018-08-08,2019-05-14,Sunrise Capital Ltd
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,1:1,1224978.00,100.00,2018-07-28,2018-09-02,2018-07-12,2018-12-11,NMB Capital Limited
NBBL,Nagbeli Laghubitta Bikash Bank Limited,1:1,766463.00,100.00,2018-07-20,2018-08-23,2018-07-05,2019-01-09,NMB Capital Limited
SIL,Siddhartha Insurance Limited,10:3.5,2244974.00,100.00,2018-06-30,2018-08-05,2018-05-15,2017-08-25,NMB Capital Limited
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,5:3,2159700.00,100.00,2018-06-30,2018-08-05,2018-06-05,,NIBL ACE Capital Ltd.
NLICL,National Life Insurance Company Limited,10:6,9936477.50,100.00,2018-07-17,2018-09-04,2018-07-06,2018-12-11,NIBL ACE Capital Limited
MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,1:1,450000.00,99.00,2018-07-10,2018-08-14,2018-06-01,2018-08-22,NIBL ACE Capital Limited
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,2:1,189600.00,100.00,2018-07-11,2018-08-14,2018-06-26,,NIBL ACE Capital Ltd
SYFL,Synergy Finance Limited,1:0.25,1186022.47,100.00,2018-07-08,2018-08-28,2018-06-13,,Prabhu Capital Limited
